,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
144,"Eu Fui Pra Terminar - Ao Vivo","Os Barões Da Pisadinha",114636,https://open.spotify.com/track/5FiSrfVjuHTjvwRypgsPeB
145,"Permission to Dance",BTS,114086,https://open.spotify.com/track/5eXBXreN3d1zdj6Sa8dS0u
146,"Expectativa x Realidade","Matheus & Kauan",113864,https://open.spotify.com/track/1wdhj1r7aeWVDUl9d18YKu
147,"Preta do Cabelo Cacheado","Mc Don Juan",113646,https://open.spotify.com/track/0Ve3XWcrsgy90xo0UL2syx
148,"Fala Comigo - Ao Vivo","Gusttavo Lima",113571,https://open.spotify.com/track/56F3ngwk3a42aLY0o5QgBF
149,"Na Ponta do Pé - Brega Funk","Nadson O Ferinha",113496,https://open.spotify.com/track/4VBhrKEJ9nWzaiyhM5L9ic
150,Woman,"Doja Cat",112833,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
151,"Pulei na Piscina - Ao Vivo","Guilherme & Benuto",112691,https://open.spotify.com/track/1uA7fD01YlQr1Rm0oyNB4H
152,"Lei do Retorno 2","MC Hariel",112673,https://open.spotify.com/track/4tSFmHgIvK53hrLCxVJuxw
153,"Maçã Verde","MC Hariel",111785,https://open.spotify.com/track/7lJoRyuNJtuiqTcKtuMuIR
154,"Amando Individual","Felipe Araújo",111385,https://open.spotify.com/track/40jJXSACXLpFp5czWoa32I
155,"Amor da Despedida","Os Barões Da Pisadinha",110730,https://open.spotify.com/track/0WlmiIK5qFQ4dAB4mCA4sI
156,"Cena de Amor","Brisa Star",109719,https://open.spotify.com/track/6RMYuqlTn8777j5arY9zhC
157,"Vou Te Botar","MC Meno K",109589,https://open.spotify.com/track/3O9i9fpKuzebZezXUwJh69
158,positions,"Ariana Grande",109323,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
159,"Ficante Fiel","Mad Dogz",109109,https://open.spotify.com/track/07Kp3cAQRY0iPp4ATMoehM
160,"Astronaut In The Ocean","Masked Wolf",108707,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
161,"Anota Placa","Tz da Coronel",107320,https://open.spotify.com/track/3QUriWUE8WnWLpWxHA52k4
162,Storiezin,"Raí Saia Rodada",106580,https://open.spotify.com/track/1h6a1gcgHa4hg09xEmue3V
163,"Só de Sacanagem - Ao Vivo","Israel & Rodolffo",106074,https://open.spotify.com/track/40zJaB3z53PGaxIkYyieBP
164,Gueto,IZA,105827,https://open.spotify.com/track/2AzBHIVlSYb0fx8zHWQIgl
165,"jealousy, jealousy","Olivia Rodrigo",105422,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
166,"Girl From Rio",Anitta,105116,https://open.spotify.com/track/2plRom0urixt6BE8t7kOhQ
167,"MT- AI CALICA QUER DA PROS AMIGO DA BOCA","Mc Cyclope",105026,https://open.spotify.com/track/5bWlXi0npf7uBjBHrcjuNe
168,"Bom Dia / A Tropa do Serrão Te Chamou pra Piscina","Dj Scar",104782,https://open.spotify.com/track/2aqoPWAUACTz5S8rJSOjNJ
169,Mds,Kawe,104294,https://open.spotify.com/track/0QglpM23kl9ldvVdoYNZwF
170,"Vou Falar Que Não Quero - Remix","DJ Lucas Beat",104267,https://open.spotify.com/track/0YluTOlBctnpHPABgFSXEw
171,"Medley Lud Session - Modo Avião / A Tua Voz / 700 Por Hora / Radar / A Música Mais Triste do Ano",LUDMILLA,104133,https://open.spotify.com/track/7HYdckQd1guaSYVwMQ3SFL
172,"Investe Em Mim","Jonas Esticado",103418,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
173,"Chovendo Na Minha Bochecha",Tierry,103403,https://open.spotify.com/track/6KdPfHqGu5Cu0287Ou6YNq
174,"Coração Traumatizou - Ao Vivo","Israel & Rodolffo",102973,https://open.spotify.com/track/1c5uZE4rMQ09O4bIJvlHwK
175,"Meia Noite (Você tem meu Whatsapp)","Tarcísio do Acordeon",102694,https://open.spotify.com/track/6sPBi0qLI6KM3yXX56NxsA
176,"Alive (It Feels Like)",Alok,101386,https://open.spotify.com/track/4fB85IhVASxXMWgoke5WVJ
177,"Someone You Loved","Lewis Capaldi",101260,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
178,"Manda Áudio","Di Propósito",100759,https://open.spotify.com/track/0in6Rc29qdyOkhKyYw4A84
179,happier,"Olivia Rodrigo",100002,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
180,"caos / flor ***","Luísa Sonza",98348,https://open.spotify.com/track/21XUWkizYGllIRpib9Cq6X
181,Incomparável,"Maiara & Maraisa",98172,https://open.spotify.com/track/3sgOlQhpIlao3pSkXy9XXY
182,"Amarelo, azul e branco",ANAVITÓRIA,96434,https://open.spotify.com/track/2LOIoeI16A8jjKubPKoCSa
183,Privilégio,"MC Luan da BS",95388,https://open.spotify.com/track/2ASs0n7ukfyxAxDtdir4vF
184,"Meu Sonho","Tarcísio do Acordeon",95094,https://open.spotify.com/track/0T4xOQeKlZ1s6YdD6UIZp8
185,"Toma de Cima da Laje 2","MC Ruanzin",95046,https://open.spotify.com/track/31EMZYiFomBb6nTm86Vltr
186,"Chama pelo Apelido","DJ ENZO ÚNICO",95030,https://open.spotify.com/track/0E2IkIOokPLq1dSPVepg2J
187,"Perceptível - Ao Vivo","Diego & Arnaldo",93742,https://open.spotify.com/track/09HoCF2lf0rIBrTzV4Pduq
188,"Meu Abrigo",Melim,93724,https://open.spotify.com/track/5U28PY9MekLyCBYtLHGQpe
189,"Poesia Acústica #6: Era uma Vez","Pineapple StormTv",93485,https://open.spotify.com/track/13Rf6RaZT13TW4xLQR3MQr
190,"Espirra o Lança","Dj Serpinha",93155,https://open.spotify.com/track/5H25WPPytKQcMfIPu0oEBO
191,"F* F* M*","Filipe Ret",92924,https://open.spotify.com/track/0cHflpV8SSGbE0NKaasEfT
192,Arcade,"Duncan Laurence",92770,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
193,"Recaída Sem Compromisso","MC Rogerinho",92637,https://open.spotify.com/track/0ABlfvoRn4QnknBadvFIdA
194,"Cavalo de Tróia","Mc Kevin",92152,https://open.spotify.com/track/7uXQAiHezf6VR7txWkS86Q
195,"Não Te Quero",NATTAN,91957,https://open.spotify.com/track/3cVF2ot6YuCD0RQY302gNz
196,"Hold On","Justin Bieber",91385,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
197,"Giro dos Artistas","Mc Bruninho da Praia",91359,https://open.spotify.com/track/0Pjd5h1ZOSyhSwZrDeCIXg
198,"Slow Down (feat. Jorja Smith) - Vintage Culture & Slow Motion Remix","Maverick Sabre",91303,https://open.spotify.com/track/5PNvgiKSwMdjBsDsgFCFLX
199,"Coração Gelado 2","DJ BOY",91246,https://open.spotify.com/track/770dThFIyI1l6ovcxxeUW2
200,"You Right","Doja Cat",91098,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
